Developer,Publisher,Genres,Product Rating,User Ratings Count,Best-seller,year
Nintendo,Nintendo,Open-World Action,Rated E For Everyone,173.0,1,2003
Stainless Games,Sega,Action,Rated M For Mature,5.0,0,2008
SkyBox Labs,SkyBox Labs,2D Platformer,Rated E +10 For Everyone +10,15.0,0,2019
Konami Computer Entertainment Hawaii,Konami,Dancing,Rated E +10 For Everyone +10,9.0,0,2005
Barnhouse Effect,Conspiracy Entertainment,Vehicle Combat Sim,Rated T For Teen,10.0,1,2002
EA Sports Big,EA Sports Big,Skiing,Rated E For Everyone,62.0,1,2000
Snow Castle Games,Snow Castle Games,JRPG,Rated E +10 For Everyone +10,5.0,0,2017
Media.Vision,Agetec,JRPG,Rated T For Teen,23.0,1,2005
Hothead Games,Hothead Games,Adventure,Rated M For Mature,5.0,1,2008
Gearbox Software,Sega,Rhythm,Rated E For Everyone,16.0,1,2008
Radical Entertainment,Vivendi Games,Action Adventure,Rated M For Mature,104.0,1,2006
Double Helix Games,Microsoft Game Studios,2D Fighting,Rated T For Teen,657.0,0,2013
Monster Games Inc.,704Games,Auto Racing Sim,Rated E For Everyone,27.0,0,2017
Stainless Steel Studios,Midway,Real-Time Strategy,Rated T For Teen,26.0,1,2006
Treyarch,Activision,Open-World Action,Rated T For Teen,36.0,1,2005
Falcom,NIS America,JRPG,Rated T For Teen,18.0,1,2023
Beenox,Activision,Open-World Action,Rated T For Teen,359.0,0,2014
Digital Mayhem,Interplay,Action Adventure,Rated M For Mature,6.0,0,2002
Namco,Namco,Auto Racing,Rated E For Everyone,78.0,1,1999
Creative Assembly,Activision,Real-Time Strategy,Rated T For Teen,1377.0,1,2004
Renegade Kid,Renegade Kid,2D Platformer,Rated E For Everyone,48.0,1,2013
MidBoss,MidBoss,Point-and-Click,Rated M For Mature,555.0,0,2017
WayForward,Namco,Action RPG,Rated E +10 For Everyone +10,5.0,1,2005
Backbone Entertainment,Capcom,2D Fighting,Rated T For Teen,38.0,0,2008
"Frozenbyte, Inc.","Frozenbyte, Inc.",2D Platformer,Rated E +10 For Everyone +10,771.0,1,2011
Supermassive Games,SCEA,FPS,Rated M For Mature,112.0,0,2012
Factor 5,ININ Games,Compilation,Rated E +10 For Everyone +10,9.0,1,2021
Paradigm Entertainment,Infogrames,3D Platformer,Rated E For Everyone,8.0,1,2000
From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,13.0,1,2004
Ubisoft,Ubisoft,Tactical Third Person Shooter,Rated M For Mature,22.0,0,2006
Electronic Arts,Electronic Arts,FPS,Rated T For Teen,75.0,0,2007
Arrowhead Game Studios,Paradox Interactive,Linear Action Adventure,Rated T For Teen,28.0,0,2011
Spike Chunsoft,Namco Bandai Games,3D Fighting,Rated T For Teen,46.0,0,2012
Dimps Corporation,THQ,2D Platformer,Rated E For Everyone,96.0,1,2003
Infogrames Sheffield,Infogrames,Golf Sim,Rated E For Everyone,6.0,1,2000
7 Studios,Activision,Action Adventure,Rated E +10 For Everyone +10,10.0,0,2007
Telltale Games,Telltale Games,Third-Person Adventure,Rated E +10 For Everyone +10,22.0,0,2010
Konami Software Shanghai,Konami,Action RPG,Rated T For Teen,32.0,1,2005
